volumn	time
1345	197.23
1359	106.57
1357	135.21
1383	74.2
1324	78.13
1329	137.85
1388	136.62
1404	191.67
1392	163.55
1398	103.86
1401	101.9
1407	105.56
1471	134.42
1439	110.32
1425	168.21
1355	108.8
1388	161.12
1406	158.76
1380	221.61
1319	229.07
1273	109.07
1386	134.62
1267	139.64
1314	196.94
1388	74.64
1458	131.59
1364	75.65
1317	110.79
1373	198.46
1320	105.27
1442	103.1
1320	73.75
1378	163.99
1406	108.46
1345	156.52
1336	137.6
1355	212.86
1372	134.71
1351	108.35
1322	134.12
1275	134.91
1307	74.45
1226	76.78
1226	107.86
1234	108.74
1291	138.3
1320	200.03
1237	106.95
1288	107.9
1368	73.28
1399	134.72
1399	102.78
1306	78.27
1345	105.78
1328	195.74
1318	104.86
1252	107.48
1231	139.02
1297	172.07
1280	141.26
1327	108.21
1330	104.48
1311	165.24
1246	107.61
1363	194.39
1303	110.17
1250	107.15
1333	138.91
1303	107.24
1271	109.16
1237	78.14
1249	205.09
1264	76.59
1308	200.97
1261	108.95
1297	136.97
1221	107.56
1223	141.33
1269	140.67
1322	168.77
1227	78.38
1237	75.8
1179	145.87
1248	80.8
1197	146.51
1268	77.62
1248	109.65
1306	139.51
1286	77.89
1330	104.77
1364	133.85
1330	168.98
1349	166.48
1304	139.25
1322	169.24
1230	175.17
1229	110.65
1317	198.69
1240	107.77
1213	143.82
1240	179.19
1202	115.9
1275	79.66
1247	110.75
1234	111.11
1235	176.69
1271	109.92
1198	144.78
1263	109.32
1248	77.55
1356	141.86
1267	109.97
1363	192.71
1231	112.98
1334	106
1304	108.19
1270	110.76
1299	107.43
1311	107.61
1270	137.4
1338	105.3
1302	168.6
1254	106
1292	108.61
1259	105.76
1287	107.65
1293	139.04
1271	138.9
1321	226.17
1244	106.65
1355	165.92
1240	205.76
1209	109.61
1206	146.58
1186	245.1
1146	108.96
1136	181.61
1185	107.57
1200	76.38
1236	110.17
1174	145.93
1226	139.69
1274	111.03
1221	172.1
1221	74.13
1162	145.97
1261	73.4
1213	77.09
1183	78.28
1194	177.08
1226	80.32
1125	113.06
1199	76.94
