volumn	rate	time
921	95.98%	125.04
862	95.36%	81.22
898	95.10%	81.35
834	95.08%	83.24
859	94.99%	81.65
843	95.73%	129.17
889	95.84%	125.37
880	95%	174.09
813	95.94%	88.22
887	95.83%	82.07
922	96.64%	124.22
963	95.64%	79.44
959	95.62%	165.79
936	95.94%	122.54
1005	95.12%	131.82
998	96.49%	160.74
1014	97.34%	123.97
1030	95.44%	83.48
1023	95.80%	275.85
1043	95.21%	117.62
1004	96.71%	200.89
1051	95.81%	157.81
1028	95.91%	82.49
1063	95.30%	195.07
1068	95.32%	154.86
1131	96.20%	114.91
1014	95.46%	78.23
1132	96.82%	146.6
1024	97.07%	119.48
1109	94.68%	78.02
1021	96.28%	157
1166	96.40%	115.49
1010	96.24%	78.18
1019	95.49%	116.57
1019	95.68%	120.38
1125	96.27%	77.05
1092	95.15%	78.82
1078	96.01%	7576.16
1099	95.27%	151.56
1223	95.50%	114.39
1122	96.43%	185.07
1178	96.35%	113.96
1160	95.26%	81.51
1149	95.39%	114.95
1123	95.81%	221.13
1118	94.99%	77.58
1185	96.79%	180.67
1179	96.27%	78.41
1220	95.16%	175.77
1139	95.61%	114.39
1213	95.22%	143.11
1085	95.58%	223.74
1156	95.85%	215.45
1190	94.96%	112.31
1199	95.50%	145.31
1201	95.92%	175.4
1214	95.30%	79.37
1241	94.84%	140.15
1174	96.34%	112.61
1191	95.63%	210.59
1189	96.13%	77.98
1189	96.05%	178.03
1135	96.21%	147.57
1184	96.62%	214.84
1304	95.40%	201.02
1238	94.99%	76.32
1167	94.94%	80.79
1215	96.30%	109.62
1299	96%	108.98
1296	95.06%	109.48
1296	96.22%	137.3
1275	96.16%	107.36
1310	96.41%	106.6
1271	94.65%	218.17
1220	94.84%	144.81
1327	96.38%	134.72
1219	95.65%	75.46
1252	95.85%	219.93
1250	95.04%	75.04
1300	97.23%	105.37
1321	95.91%	76.81
1307	96.25%	137.85
1316	95.36%	77.69
1325	95.32%	106.65
1274	95.68%	202.91
1291	95.97%	140.29
1307	95.03%	105.51
1302	95.47%	105.81
1328	95.18%	255.13
1297	96.84%	106.6
1319	95.15%	134.61
1370	95.26%	74.61
1340	95.45%	223.77
1349	95.18%	108.28
1382	96.53%	75.46
1284	96.88%	136.69
1321	95.53%	104.79
1387	96.68%	14641.65
1281	96.25%	140.71
1271	94.57%	140.89
1305	96.86%	75.14
1260	96.43%	139.06
1286	96.58%	141.62
1258	95.55%	171.29
1263	94.93%	75.84
1320	95.83%	138.9
1299	94.77%	231.13
1333	94.52%	75.96
1311	96.26%	203.33
1319	95.60%	136.32
